fill	xmin	xmax	ymin	ymax	showSelectedlegendfill	PANEL
#666666	1449464400	1449550800	23.8919736842105	23.95	sensor work day	1
#666666	1449550800	1449637200	23.8546234119782	24.1527586206897	sensor work day	1
#666666	1449637200	1449723600	23.9883507259528	24.4743859649123	sensor work day	1
#666666	1449723600	1449810000	24.0348532970357	24.4315517241379	sensor work day	1
#999999	1449810000	1449896400	23.95	23.9585964912281	sensor day off	1
#999999	1449896400	1449982800	23.95	23.9584482758621	sensor day off	1
#666666	1449982800	1450069200	23.95	24.3724137931035	sensor work day	1
#666666	1450069200	1450155600	23.6859913793103	24.44	sensor work day	1
#666666	1450155600	1450242000	23.95	24.2287931034483	sensor work day	1
#666666	1450242000	1450328400	23.7833812260536	24.0039830508475	sensor work day	1
#666666	1450328400	1450414800	23.8046035762483	24.2264102564103	sensor work day	1
#999999	1450414800	1450501200	23.3257168784029	23.4778181818182	sensor day off	1
#999999	1450587600	1450674000	23.46	23.9157	sensor day off	1
#999999	1450674000	1450760400	23.4567763157895	23.8898245614035	sensor day off	1
#999999	1450760400	1450846800	23.4653728070175	23.945504587156	sensor day off	1
#999999	1450846800	1450933200	23.3942954545455	23.95	sensor day off	1
#999999	1450933200	1451019600	23.05575	23.7952631578947	sensor day off	1
#999999	1451019600	1451106000	22.9617895162664	23.4050862068966	sensor day off	1
#999999	1451106000	1451192400	23.1723898940865	23.46	sensor day off	1
#999999	1451192400	1451278800	22.441868872549	22.942	sensor day off	1
#999999	1451278800	1451365200	22.4079411764706	22.6930434782609	sensor day off	1
#999999	1451365200	1451451600	22.4779767563648	22.7685046728972	sensor day off	1
#999999	1451451600	1451538000	22.4971228448276	22.8371186440678	sensor day off	1
#999999	1451538000	1451624400	22.235716374269	22.7970588235294	sensor day off	1
#999999	1451624400	1451710800	22.5697629310345	22.845350877193	sensor day off	1
#999999	1451710800	1451797200	22.7690849649328	22.965775862069	sensor day off	1
#666666	1451797200	1451883600	22.6319315877155	24.1105172413793	sensor work day	1
#666666	1451883600	1451970000	24.1570833333333	25.035945945946	sensor work day	1
#666666	1451970000	1452056400	23.7202124183007	24.5884848484849	sensor work day	1
#666666	1452056400	1452142800	24.0356672297297	24.636	sensor work day	1
#666666	1452142800	1452229200	24.2390322580645	24.5884848484849	sensor work day	1
#999999	1452229200	1452315600	24.0095945945946	24.44	sensor day off	1
#999999	1452315600	1452402000	24.0295842572062	24.2094117647059	sensor day off	1
#666666	1452402000	1452488400	23.7750662878788	25.2210810810811	sensor work day	1
