fill	x	ymin	ymax	showSelectedlegendfill	PANEL	group	colour
#8DD3C7	1449421200	3	4	Wunderground	2	1	#8DD3C7
#8DD3C7	1449507600	2.22222222222222	4	Wunderground	2	1	#8DD3C7
#8DD3C7	1449594000	6	7	Wunderground	2	1	#8DD3C7
#8DD3C7	1449680400	8	10	Wunderground	2	1	#8DD3C7
#8DD3C7	1449766800	11	14	Wunderground	2	1	#8DD3C7
#8DD3C7	1449853200	9	9.44444444444444	Wunderground	2	1	#8DD3C7
#8DD3C7	1449939600	2.77777777777778	4	Wunderground	2	1	#8DD3C7
#8DD3C7	1450026000	3	3	Wunderground	2	1	#8DD3C7
#8DD3C7	1450112400	4	4.44444444444444	Wunderground	2	1	#8DD3C7
#8DD3C7	1450198800	0.999999999999998	1.11111111111111	Wunderground	2	1	#8DD3C7
#8DD3C7	1450285200	7	7.22222222222222	Wunderground	2	1	#8DD3C7
#8DD3C7	1450371600	4	8	Wunderground	2	1	#8DD3C7
#8DD3C7	1450458000	0	1.66666666666667	Wunderground	2	1	#8DD3C7
#8DD3C7	1450544400	-2	0	Wunderground	2	1	#8DD3C7
#8DD3C7	1450630800	2.75	4	Wunderground	2	1	#8DD3C7
#8DD3C7	1450717200	3	5	Wunderground	2	1	#8DD3C7
#8DD3C7	1450803600	4	9	Wunderground	2	1	#8DD3C7
#8DD3C7	1450890000	13	16	Wunderground	2	1	#8DD3C7
#8DD3C7	1450976400	6	8	Wunderground	2	1	#8DD3C7
#8DD3C7	1451062800	2	4	Wunderground	2	1	#8DD3C7
#8DD3C7	1451149200	0	2	Wunderground	2	1	#8DD3C7
#8DD3C7	1451235600	-7	-3.88888888888889	Wunderground	2	1	#8DD3C7
#8DD3C7	1451322000	-8	-7.77777777777778	Wunderground	2	1	#8DD3C7
#8DD3C7	1451408400	-6	-5	Wunderground	2	1	#8DD3C7
#8DD3C7	1451494800	-1	-0.555555555555556	Wunderground	2	1	#8DD3C7
#8DD3C7	1451581200	0	0	Wunderground	2	1	#8DD3C7
#8DD3C7	1451667600	0	0	Wunderground	2	1	#8DD3C7
#8DD3C7	1451754000	0	0	Wunderground	2	1	#8DD3C7
#8DD3C7	1451840400	-14.3333333333333	-13	Wunderground	2	1	#8DD3C7
#8DD3C7	1451926800	-12	-8	Wunderground	2	1	#8DD3C7
#8DD3C7	1452013200	-4.75	0	Wunderground	2	1	#8DD3C7
#8DD3C7	1452099600	-1	-0.555555555555556	Wunderground	2	1	#8DD3C7
#8DD3C7	1452186000	-2	0.999999999999998	Wunderground	2	1	#8DD3C7
#8DD3C7	1452272400	4	4	Wunderground	2	1	#8DD3C7
#8DD3C7	1452358800	6	7	Wunderground	2	1	#8DD3C7
#8DD3C7	1452445200	-6	0	Wunderground	2	1	#8DD3C7
#8DD3C7	1452531600	-4	-3	Wunderground	2	1	#8DD3C7
#8DD3C7	1452618000	-5	-3	Wunderground	2	1	#8DD3C7
#8DD3C7	1452704400	-10	-10	Wunderground	2	1	#8DD3C7
#8DD3C7	1452790800	-9.5	-8	Wunderground	2	1	#8DD3C7
#8DD3C7	1452877200	-4	-2	Wunderground	2	1	#8DD3C7
#8DD3C7	1452963600	-6	-4	Wunderground	2	1	#8DD3C7
#8DD3C7	1453050000	-8.66666666666667	-7	Wunderground	2	1	#8DD3C7
#8DD3C7	1453136400	-11.5	-9	Wunderground	2	1	#8DD3C7
#8DD3C7	1453222800	-7.19444444444445	-5	Wunderground	2	1	#8DD3C7
#8DD3C7	1453309200	-8	-7	Wunderground	2	1	#8DD3C7
#8DD3C7	1453395600	-5	-3	Wunderground	2	1	#8DD3C7
#8DD3C7	1453482000	-10	-9	Wunderground	2	1	#8DD3C7
#8DD3C7	1453568400	-7	-6.66666666666667	Wunderground	2	1	#8DD3C7
#8DD3C7	1453654800	-2	-1	Wunderground	2	1	#8DD3C7
#8DD3C7	1453741200	3	5	Wunderground	2	1	#8DD3C7
#8DD3C7	1453827600	0	2	Wunderground	2	1	#8DD3C7
#8DD3C7	1453914000	-1	0.999999999999998	Wunderground	2	1	#8DD3C7
#8DD3C7	1454000400	0	0.999999999999998	Wunderground	2	1	#8DD3C7
#8DD3C7	1454086800	-2	-1	Wunderground	2	1	#8DD3C7
#8DD3C7	1454173200	3.16666666666667	5	Wunderground	2	1	#8DD3C7
#8DD3C7	1454259600	5	8.33333333333333	Wunderground	2	1	#8DD3C7
#8DD3C7	1454346000	-2.19444444444445	0.999999999999998	Wunderground	2	1	#8DD3C7
#8DD3C7	1454432400	5	6.66666666666667	Wunderground	2	1	#8DD3C7
#8DD3C7	1454518800	4	8	Wunderground	2	1	#8DD3C7
#8DD3C7	1454605200	-2	0	Wunderground	2	1	#8DD3C7
#8DD3C7	1454691600	-1	0.999999999999998	Wunderground	2	1	#8DD3C7
#8DD3C7	1454778000	-2.19444444444445	0.999999999999998	Wunderground	2	1	#8DD3C7
#8DD3C7	1454864400	-7	-6	Wunderground	2	1	#8DD3C7
#8DD3C7	1454950800	-6.02777777777778	-6	Wunderground	2	1	#8DD3C7
#8DD3C7	1455037200	-5	-5	Wunderground	2	1	#8DD3C7
#8DD3C7	1455123600	-12	-8	Wunderground	2	1	#8DD3C7
#8DD3C7	1455210000	-7	-6	Wunderground	2	1	#8DD3C7
#8DD3C7	1455296400	-18.5	-11	Wunderground	2	1	#8DD3C7
#8DD3C7	1455382800	-20	-20	Wunderground	2	1	#8DD3C7
#8DD3C7	1455469200	-9	-5	Wunderground	2	1	#8DD3C7
#8DD3C7	1455555600	-2	0.999999999999998	Wunderground	2	1	#8DD3C7
#8DD3C7	1455642000	-1	-1	Wunderground	2	1	#8DD3C7
#8DD3C7	1455728400	-10	-9	Wunderground	2	1	#8DD3C7
#8DD3C7	1455814800	-1	0.999999999999998	Wunderground	2	1	#8DD3C7
#8DD3C7	1455901200	3	4	Wunderground	2	1	#8DD3C7
#8DD3C7	1455987600	2	3	Wunderground	2	1	#8DD3C7
#8DD3C7	1456074000	-8.83333333333333	-8	Wunderground	2	1	#8DD3C7
#8DD3C7	1456160400	-7	-6	Wunderground	2	1	#8DD3C7
#8DD3C7	1456246800	-1	0	Wunderground	2	1	#8DD3C7
#8DD3C7	1456333200	0.999999999999998	1.11111111111111	Wunderground	2	1	#8DD3C7
#8DD3C7	1456419600	-8	-3	Wunderground	2	1	#8DD3C7
#8DD3C7	1456506000	0	3	Wunderground	2	1	#8DD3C7
#8DD3C7	1456592400	-2.75	2	Wunderground	2	1	#8DD3C7
#8DD3C7	1456678800	0	0.999999999999998	Wunderground	2	1	#8DD3C7
#8DD3C7	1456765200	-9.33333333333333	-9	Wunderground	2	1	#8DD3C7
#8DD3C7	1456851600	-9	-8	Wunderground	2	1	#8DD3C7
#8DD3C7	1456938000	-13	-12	Wunderground	2	1	#8DD3C7
#8DD3C7	1457024400	-6.52777777777778	-5	Wunderground	2	1	#8DD3C7
#8DD3C7	1457110800	-3.33333333333333	-3	Wunderground	2	1	#8DD3C7
#8DD3C7	1457197200	0.555555555555556	2	Wunderground	2	1	#8DD3C7
#8DD3C7	1457283600	2.11111111111111	4	Wunderground	2	1	#8DD3C7
#8DD3C7	1457370000	3	4	Wunderground	2	1	#8DD3C7
#8DD3C7	1457456400	9	11	Wunderground	2	1	#8DD3C7
#8DD3C7	1457542800	5	8	Wunderground	2	1	#8DD3C7
#8DD3C7	1457629200	2.77777777777778	6	Wunderground	2	1	#8DD3C7
#8DD3C7	1457715600	7.5	10	Wunderground	2	1	#8DD3C7
#8DD3C7	1457802000	6	8	Wunderground	2	1	#8DD3C7
#8DD3C7	1457888400	3	5	Wunderground	2	1	#8DD3C7
#8DD3C7	1457974800	5.5	9	Wunderground	2	1	#8DD3C7
#8DD3C7	1458061200	6	8	Wunderground	2	1	#8DD3C7
#8DD3C7	1458147600	6	11	Wunderground	2	1	#8DD3C7
#8DD3C7	1458234000	2	5	Wunderground	2	1	#8DD3C7
#8DD3C7	1458320400	-3	0	Wunderground	2	1	#8DD3C7
#8DD3C7	1458406800	-1.52777777777778	0.999999999999998	Wunderground	2	1	#8DD3C7
#8DD3C7	1458493200	2	5	Wunderground	2	1	#8DD3C7
#8DD3C7	1458579600	3	5	Wunderground	2	1	#8DD3C7
#8DD3C7	1458666000	0.999999999999998	3	Wunderground	2	1	#8DD3C7
#8DD3C7	1458752400	-5	-1	Wunderground	2	1	#8DD3C7
#8DD3C7	1458838800	0	0.999999999999998	Wunderground	2	1	#8DD3C7
#8DD3C7	1458925200	0.999999999999998	4	Wunderground	2	1	#8DD3C7
#8DD3C7	1459011600	10.1388888888889	14	Wunderground	2	1	#8DD3C7
#8DD3C7	1459098000	7	8	Wunderground	2	1	#8DD3C7
#8DD3C7	1459184400	4	6	Wunderground	2	1	#8DD3C7
#8DD3C7	1459270800	9	10	Wunderground	2	1	#8DD3C7
#8DD3C7	1459357200	11.25	14	Wunderground	2	1	#8DD3C7
#8DD3C7	1459443600	14	16.1111111111111	Wunderground	2	1	#8DD3C7
#8DD3C7	1459530000	6	8	Wunderground	2	1	#8DD3C7
#8DD3C7	1459616400	-5	-1	Wunderground	2	1	#8DD3C7
#8DD3C7	1459702800	-4.75	-3.88888888888889	Wunderground	2	1	#8DD3C7
#8DD3C7	1459789200	-2	-1	Wunderground	2	1	#8DD3C7
#8DD3C7	1459875600	0	3.33333333333333	Wunderground	2	1	#8DD3C7
#8DD3C7	1459962000	3	3.33333333333333	Wunderground	2	1	#8DD3C7
#8DD3C7	1460048400	2	4	Wunderground	2	1	#8DD3C7
#8DD3C7	1460134800	0	0.999999999999998	Wunderground	2	1	#8DD3C7
#8DD3C7	1460221200	0.138888888888889	2	Wunderground	2	1	#8DD3C7
#8DD3C7	1460307600	5	7	Wunderground	2	1	#8DD3C7
#8DD3C7	1460394000	7	8	Wunderground	2	1	#8DD3C7
