colour	x	y	group	key	clickSelects	showSelected1	PANEL
#999999	0	22.5100877192982	3	Friday 01 Jan 2016	Friday 01 Jan 2016	Friday 01 Jan 2016	1
#999999	1	22.5727027027027	3	Friday 01 Jan 2016	Friday 01 Jan 2016	Friday 01 Jan 2016	1
#999999	2	22.6913725490196	3	Friday 01 Jan 2016	Friday 01 Jan 2016	Friday 01 Jan 2016	1
#999999	3	22.7646666666667	3	Friday 01 Jan 2016	Friday 01 Jan 2016	Friday 01 Jan 2016	1
#999999	4	22.634	3	Friday 01 Jan 2016	Friday 01 Jan 2016	Friday 01 Jan 2016	1
#999999	5	22.7970588235294	3	Friday 01 Jan 2016	Friday 01 Jan 2016	Friday 01 Jan 2016	1
#999999	6	21.9890099009901	3	Friday 01 Jan 2016	Friday 01 Jan 2016	Friday 01 Jan 2016	1
#999999	7	21.0442574257426	3	Friday 01 Jan 2016	Friday 01 Jan 2016	Friday 01 Jan 2016	1
#999999	8	20.6586868686869	3	Friday 01 Jan 2016	Friday 01 Jan 2016	Friday 01 Jan 2016	1
#999999	9	20.53	3	Friday 01 Jan 2016	Friday 01 Jan 2016	Friday 01 Jan 2016	1
#999999	10	20.53	3	Friday 01 Jan 2016	Friday 01 Jan 2016	Friday 01 Jan 2016	1
#999999	11	20.53	3	Friday 01 Jan 2016	Friday 01 Jan 2016	Friday 01 Jan 2016	1
#999999	12	20.5088793103448	3	Friday 01 Jan 2016	Friday 01 Jan 2016	Friday 01 Jan 2016	1
#999999	13	20.4542727272727	3	Friday 01 Jan 2016	Friday 01 Jan 2016	Friday 01 Jan 2016	1
#999999	14	20.429375	3	Friday 01 Jan 2016	Friday 01 Jan 2016	Friday 01 Jan 2016	1
#999999	15	20.3820754716981	3	Friday 01 Jan 2016	Friday 01 Jan 2016	Friday 01 Jan 2016	1
#999999	16	20.53	3	Friday 01 Jan 2016	Friday 01 Jan 2016	Friday 01 Jan 2016	1
#999999	17	20.53	3	Friday 01 Jan 2016	Friday 01 Jan 2016	Friday 01 Jan 2016	1
#999999	18	20.53	3	Friday 01 Jan 2016	Friday 01 Jan 2016	Friday 01 Jan 2016	1
#999999	19	21.2488	3	Friday 01 Jan 2016	Friday 01 Jan 2016	Friday 01 Jan 2016	1
#999999	20	22.1442592592593	3	Friday 01 Jan 2016	Friday 01 Jan 2016	Friday 01 Jan 2016	1
#999999	21	22.1191089108911	3	Friday 01 Jan 2016	Friday 01 Jan 2016	Friday 01 Jan 2016	1
#999999	22	21.0961165048544	3	Friday 01 Jan 2016	Friday 01 Jan 2016	Friday 01 Jan 2016	1
#999999	23	22.0247572815534	3	Friday 01 Jan 2016	Friday 01 Jan 2016	Friday 01 Jan 2016	1
#666666	0	22.4687356321839	4	Friday 01 Jul 2016	Friday 01 Jul 2016	Friday 01 Jul 2016	1
#666666	1	22.48	4	Friday 01 Jul 2016	Friday 01 Jul 2016	Friday 01 Jul 2016	1
#666666	2	22.48	4	Friday 01 Jul 2016	Friday 01 Jul 2016	Friday 01 Jul 2016	1
#666666	3	22.48	4	Friday 01 Jul 2016	Friday 01 Jul 2016	Friday 01 Jul 2016	1
#666666	4	22.48	4	Friday 01 Jul 2016	Friday 01 Jul 2016	Friday 01 Jul 2016	1
#666666	5	22.48	4	Friday 01 Jul 2016	Friday 01 Jul 2016	Friday 01 Jul 2016	1
