x	y	label	key	clickSelects	showSelected1	PANEL	group
23	23.95	Monday 07 Dec 2015	Monday 07 Dec 2015	Monday 07 Dec 2015	Monday 07 Dec 2015	1	150
23	22.600350877193	Tuesday 08 Dec 2015	Tuesday 08 Dec 2015	Tuesday 08 Dec 2015	Tuesday 08 Dec 2015	1	647
23	22.1628070175439	Wednesday 09 Dec 2015	Wednesday 09 Dec 2015	Wednesday 09 Dec 2015	Wednesday 09 Dec 2015	1	775
23	23.9585964912281	Thursday 10 Dec 2015	Thursday 10 Dec 2015	Thursday 10 Dec 2015	Thursday 10 Dec 2015	1	532
23	23.9414035087719	Friday 11 Dec 2015	Friday 11 Dec 2015	Friday 11 Dec 2015	Friday 11 Dec 2015	1	44
23	23.95	Saturday 12 Dec 2015	Saturday 12 Dec 2015	Saturday 12 Dec 2015	Saturday 12 Dec 2015	1	294
23	23.95	Sunday 13 Dec 2015	Sunday 13 Dec 2015	Sunday 13 Dec 2015	Sunday 13 Dec 2015	1	421
23	23.95	Monday 14 Dec 2015	Monday 14 Dec 2015	Monday 14 Dec 2015	Monday 14 Dec 2015	1	179
23	22.3854385964912	Tuesday 15 Dec 2015	Tuesday 15 Dec 2015	Tuesday 15 Dec 2015	Tuesday 15 Dec 2015	1	676
23	23.8124561403509	Wednesday 16 Dec 2015	Wednesday 16 Dec 2015	Wednesday 16 Dec 2015	Wednesday 16 Dec 2015	1	804
23	22.6182051282051	Thursday 17 Dec 2015	Thursday 17 Dec 2015	Thursday 17 Dec 2015	Thursday 17 Dec 2015	1	561
23	21.75	Friday 18 Dec 2015	Friday 18 Dec 2015	Friday 18 Dec 2015	Friday 18 Dec 2015	1	73
23	23.4515517241379	Saturday 19 Dec 2015	Saturday 19 Dec 2015	Saturday 19 Dec 2015	Saturday 19 Dec 2015	1	323
23	23.46	Sunday 20 Dec 2015	Sunday 20 Dec 2015	Sunday 20 Dec 2015	Sunday 20 Dec 2015	1	450
23	22.586320754717	Monday 21 Dec 2015	Monday 21 Dec 2015	Monday 21 Dec 2015	Monday 21 Dec 2015	1	208
23	22.6163917525773	Tuesday 22 Dec 2015	Tuesday 22 Dec 2015	Tuesday 22 Dec 2015	Tuesday 22 Dec 2015	1	705
23	21.0390291262136	Wednesday 23 Dec 2015	Wednesday 23 Dec 2015	Wednesday 23 Dec 2015	Wednesday 23 Dec 2015	1	833
23	23.46	Thursday 24 Dec 2015	Thursday 24 Dec 2015	Thursday 24 Dec 2015	Thursday 24 Dec 2015	1	590
23	22.1956034482759	Friday 25 Dec 2015	Friday 25 Dec 2015	Friday 25 Dec 2015	Friday 25 Dec 2015	1	101
23	23.4050862068966	Saturday 26 Dec 2015	Saturday 26 Dec 2015	Saturday 26 Dec 2015	Saturday 26 Dec 2015	1	351
23	22.5217021276596	Sunday 27 Dec 2015	Sunday 27 Dec 2015	Sunday 27 Dec 2015	Sunday 27 Dec 2015	1	478
23	21.5359292035398	Monday 28 Dec 2015	Monday 28 Dec 2015	Monday 28 Dec 2015	Monday 28 Dec 2015	1	236
23	22.48	Tuesday 29 Dec 2015	Tuesday 29 Dec 2015	Tuesday 29 Dec 2015	Tuesday 29 Dec 2015	1	733
23	22.475775862069	Wednesday 30 Dec 2015	Wednesday 30 Dec 2015	Wednesday 30 Dec 2015	Wednesday 30 Dec 2015	1	860
23	22.5381355932203	Thursday 31 Dec 2015	Thursday 31 Dec 2015	Thursday 31 Dec 2015	Thursday 31 Dec 2015	1	616
23	22.0247572815534	Friday 01 Jan 2016	Friday 01 Jan 2016	Friday 01 Jan 2016	Friday 01 Jan 2016	1	3
23	22.6109482758621	Saturday 02 Jan 2016	Saturday 02 Jan 2016	Saturday 02 Jan 2016	Saturday 02 Jan 2016	1	253
23	22.5007627118644	Sunday 03 Jan 2016	Sunday 03 Jan 2016	Sunday 03 Jan 2016	Sunday 03 Jan 2016	1	380
23	21.9383620689655	Monday 04 Jan 2016	Monday 04 Jan 2016	Monday 04 Jan 2016	Monday 04 Jan 2016	1	137
23	22.732	Tuesday 05 Jan 2016	Tuesday 05 Jan 2016	Tuesday 05 Jan 2016	Tuesday 05 Jan 2016	1	634
