colour	x	y	showSelected1	PANEL	group
#8DD3C7	1459789200	-4	Wunderground	2	1
#8DD3C7	1459875600	-1	Wunderground	2	1
#8DD3C7	1459962000	2.5	Wunderground	2	1
#8DD3C7	1460048400	1.83333333333333	Wunderground	2	1
#8DD3C7	1460134800	-3	Wunderground	2	1
#8DD3C7	1460221200	-2.5	Wunderground	2	1
#8DD3C7	1460307600	3	Wunderground	2	1
#8DD3C7	1460394000	6	Wunderground	2	1
#8DD3C7	1460480400	2.5	Wunderground	2	1
#8DD3C7	1460566800	5	Wunderground	2	1
#8DD3C7	1460653200	8	Wunderground	2	1
#8DD3C7	1460739600	8	Wunderground	2	1
#8DD3C7	1460826000	14	Wunderground	2	1
#8DD3C7	1460912400	8	Wunderground	2	1
#8DD3C7	1460998800	9	Wunderground	2	1
#8DD3C7	1461085200	7	Wunderground	2	1
#8DD3C7	1461171600	14	Wunderground	2	1
#8DD3C7	1461258000	13	Wunderground	2	1
#8DD3C7	1461344400	7	Wunderground	2	1
#8DD3C7	1461430800	5.5	Wunderground	2	1
#8DD3C7	1461517200	5.5	Wunderground	2	1
#8DD3C7	1461603600	3	Wunderground	2	1
#8DD3C7	1461690000	3	Wunderground	2	1
#8DD3C7	1461776400	3	Wunderground	2	1
#8DD3C7	1461862800	6	Wunderground	2	1
#8DD3C7	1461949200	9.5	Wunderground	2	1
#8DD3C7	1462035600	8	Wunderground	2	1
#8DD3C7	1462122000	8	Wunderground	2	1
#8DD3C7	1462208400	9	Wunderground	2	1
#8DD3C7	1462294800	9	Wunderground	2	1
#8DD3C7	1462381200	13	Wunderground	2	1
#8DD3C7	1462467600	15	Wunderground	2	1
#8DD3C7	1462554000	16	Wunderground	2	1
#8DD3C7	1462640400	8.33333333333333	Wunderground	2	1
#8DD3C7	1462726800	6	Wunderground	2	1
#8DD3C7	1462813200	12.5	Wunderground	2	1
#8DD3C7	1462899600	15.5	Wunderground	2	1
#8DD3C7	1462986000	20.5	Wunderground	2	1
#8DD3C7	1463072400	18	Wunderground	2	1
#8DD3C7	1463158800	15	Wunderground	2	1
#8DD3C7	1463245200	7	Wunderground	2	1
#8DD3C7	1463331600	4	Wunderground	2	1
#8DD3C7	1463418000	9	Wunderground	2	1
#8DD3C7	1463504400	11.5	Wunderground	2	1
#8DD3C7	1463590800	15	Wunderground	2	1
#8DD3C7	1463677200	17	Wunderground	2	1
#8DD3C7	1463763600	18.5	Wunderground	2	1
#8DD3C7	1463850000	19	Wunderground	2	1
#8DD3C7	1463936400	20	Wunderground	2	1
#8DD3C7	1464022800	22	Wunderground	2	1
#8DD3C7	1464109200	22	Wunderground	2	1
#8DD3C7	1464195600	20.5	Wunderground	2	1
#8DD3C7	1464282000	23.9444444444444	Wunderground	2	1
#8DD3C7	1464368400	23.5	Wunderground	2	1
#8DD3C7	1464454800	18	Wunderground	2	1
#8DD3C7	1464541200	23.5	Wunderground	2	1
#8DD3C7	1464627600	20	Wunderground	2	1
#8DD3C7	1464714000	19.5	Wunderground	2	1
#8DD3C7	1464800400	20	Wunderground	2	1
#8DD3C7	1464886800	22	Wunderground	2	1
#8DD3C7	1464973200	22	Wunderground	2	1
#8DD3C7	1465059600	18	Wunderground	2	1
#8DD3C7	1465146000	18	Wunderground	2	1
#8DD3C7	1465232400	18	Wunderground	2	1
#8DD3C7	1465318800	12.7777777777778	Wunderground	2	1
#8DD3C7	1465405200	11	Wunderground	2	1
#8DD3C7	1465491600	14	Wunderground	2	1
#8DD3C7	1465578000	15	Wunderground	2	1
#8DD3C7	1465664400	12	Wunderground	2	1
#8DD3C7	1465750800	15	Wunderground	2	1
#8DD3C7	1465837200	19	Wunderground	2	1
#8DD3C7	1465923600	20	Wunderground	2	1
#8DD3C7	1466010000	22	Wunderground	2	1
#8DD3C7	1466096400	24	Wunderground	2	1
#8DD3C7	1466182800	23.5	Wunderground	2	1
#8DD3C7	1466269200	25	Wunderground	2	1
#8DD3C7	1466355600	28	Wunderground	2	1
#8DD3C7	1466442000	21.8333333333333	Wunderground	2	1
#8DD3C7	1466528400	17.1111111111111	Wunderground	2	1
#8DD3C7	1466614800	20	Wunderground	2	1
#8DD3C7	1466701200	21	Wunderground	2	1
#8DD3C7	1466787600	24.7222222222222	Wunderground	2	1
#8DD3C7	1466874000	26.5555555555556	Wunderground	2	1
#8DD3C7	1466960400	24	Wunderground	2	1
#8DD3C7	1467046800	23	Wunderground	2	1
#8DD3C7	1467133200	19	Wunderground	2	1
#8DD3C7	1467219600	22	Wunderground	2	1
#8DD3C7	1467306000	20	Wunderground	2	1
#8DD3C7	1467392400	17	Wunderground	2	1
#8DD3C7	1467478800	19	Wunderground	2	1
#8DD3C7	1467565200	23	Wunderground	2	1
#8DD3C7	1467651600	25	Wunderground	2	1
#8DD3C7	1467738000	26	Wunderground	2	1
#8DD3C7	1467824400	20	Wunderground	2	1
#8DD3C7	1467910800	20	Wunderground	2	1
#8DD3C7	1467997200	18	Wunderground	2	1
#8DD3C7	1468083600	16	Wunderground	2	1
#8DD3C7	1468170000	18	Wunderground	2	1
#8DD3C7	1468256400	23.3888888888889	Wunderground	2	1
#8DD3C7	1468342800	27.5	Wunderground	2	1
#8DD3C7	1468429200	26	Wunderground	2	1
#8DD3C7	1468515600	21	Wunderground	2	1
#8DD3C7	1468602000	20	Wunderground	2	1
#8DD3C7	1468688400	23	Wunderground	2	1
#8DD3C7	1468774800	23.9444444444444	Wunderground	2	1
#8DD3C7	1468861200	19	Wunderground	2	1
#8DD3C7	1468947600	22.1111111111111	Wunderground	2	1
#8DD3C7	1469034000	24.7777777777778	Wunderground	2	1
#8DD3C7	1469120400	26.3333333333333	Wunderground	2	1
#8DD3C7	1469206800	21.3333333333333	Wunderground	2	1
#8DD3C7	1469293200	22	Wunderground	2	1
#8DD3C7	1469379600	22.6111111111111	Wunderground	2	1
#8DD3C7	1469466000	23.6111111111111	Wunderground	2	1
#8DD3C7	1469552400	26	Wunderground	2	1
#8DD3C7	1469638800	24	Wunderground	2	1
#8DD3C7	1469725200	22	Wunderground	2	1
#8DD3C7	1469811600	21.8333333333333	Wunderground	2	1
#8DD3C7	1469898000	23	Wunderground	2	1
#8DD3C7	1469984400	22	Wunderground	2	1
#8DD3C7	1470070800	24.2222222222222	Wunderground	2	1
#8DD3C7	1470157200	25.2777777777778	Wunderground	2	1
#8DD3C7	1470243600	25.5	Wunderground	2	1
#8DD3C7	1470330000	28.4444444444445	Wunderground	2	1
#8DD3C7	1470416400	24	Wunderground	2	1
#8DD3C7	1470502800	22	Wunderground	2	1
#8DD3C7	1470589200	22.5	Wunderground	2	1
#8DD3C7	1470675600	24	Wunderground	2	1
#8DD3C7	1470762000	27	Wunderground	2	1
#8DD3C7	1470848400	27	Wunderground	2	1
#8DD3C7	1470934800	20	Wunderground	2	1
#8DD3C7	1471021200	19	Wunderground	2	1
#8DD3C7	1471107600	19	Wunderground	2	1
#8DD3C7	1471194000	22.5	Wunderground	2	1
#8DD3C7	1471280400	20	Wunderground	2	1
#8DD3C7	1471366800	22.3888888888889	Wunderground	2	1
#8DD3C7	1471453200	23	Wunderground	2	1
#8DD3C7	1471539600	23	Wunderground	2	1
#8DD3C7	1471626000	25.2777777777778	Wunderground	2	1
#8DD3C7	1471712400	23	Wunderground	2	1
#8DD3C7	1471798800	18.3333333333333	Wunderground	2	1
#8DD3C7	1471885200	21.5555555555556	Wunderground	2	1
#8DD3C7	1471971600	24.2222222222222	Wunderground	2	1
#8DD3C7	1472058000	23	Wunderground	2	1
#8DD3C7	1472144400	24	Wunderground	2	1
#8DD3C7	1472230800	22	Wunderground	2	1
#8DD3C7	1472317200	23	Wunderground	2	1
#8DD3C7	1472403600	22	Wunderground	2	1
#8DD3C7	1472490000	21.5555555555556	Wunderground	2	1
#8DD3C7	1472576400	21	Wunderground	2	1
#8DD3C7	1472662800	20	Wunderground	2	1
#8DD3C7	1472749200	17.6111111111111	Wunderground	2	1
#8DD3C7	1472835600	18	Wunderground	2	1
#8DD3C7	1472922000	20	Wunderground	2	1
#8DD3C7	1473008400	21.5	Wunderground	2	1
#8DD3C7	1473094800	22	Wunderground	2	1
#8DD3C7	1473181200	24	Wunderground	2	1
#8DD3C7	1473267600	24	Wunderground	2	1
#8DD3C7	1473354000	23	Wunderground	2	1
#8DD3C7	1473440400	25	Wunderground	2	1
#8DD3C7	1473526800	20	Wunderground	2	1
